Grade,Category,Year,# Total Days,# Days Absent,# Days Present,% Attendance,# Contributing 10+ Total Days and 1+ Pres Day,# Chronically Absent,% Chronically Absent
All Grades,All Students,2016-17,166560858,13860124,152700734,91.7,999114,251654,25.2
All Grades,All Students,2017-18,166672935,14320146,152352789,91.4,990450,265229,26.8
All Grades,All Students,2018-19,164817248,13959465,150857783,91.5,974986,258224,26.5
All Grades,All Students,2019-20,105723269,8695850,97027419,91.8,952686,239385,25.1
All Grades,All Students,2020-21,155328266,16312826,139015440,89.5,912317,271282,29.7
PK in K-12 Schools,All Students,2016-17,4348812,437426,3911386,89.9,26573,10414,39.2
PK in K-12 Schools,All Students,2017-18,4464764,476450,3988314,89.3,27190,11433,42
PK in K-12 Schools,All Students,2018-19,4829847,527281,4302566,89.1,29374,12706,43.3
PK in K-12 Schools,All Students,2019-20,3414178,371060,3043118,89.1,31786,13584,42.7
PK in K-12 Schools,All Students,2020-21,4414842,496167,3918675,88.8,27382,10241,37.4
0K,All Students,2016-17,12567391,1027735,11539656,91.8,74517,21645,29
0K,All Students,2017-18,12477331,1057022,11420309,91.5,73187,22684,31
0K,All Students,2018-19,11845601,1009958,10835643,91.5,69540,21739,31.3
0K,All Students,2019-20,7499227,642454,6856773,91.4,67420,20944,31.1
0K,All Students,2020-21,10290464,991122,9299342,90.4,61681,19028,30.8
1,All Students,2016-17,13104781,940109,12164672,92.8,77185,18692,24.2
1,All Students,2017-18,12716312,940183,11776129,92.6,74048,18991,25.6
1,All Students,2018-19,12418676,912277,11506399,92.7,72404,18411,25.4
1,All Students,2019-20,7579675,561985,7017690,92.6,67588,16952,25.1
1,All Students,2020-21,10820260,957199,9863061,91.2,63770,17646,27.7
2,All Students,2016-17,13244240,869485,12374755,93.4,77646,16441,21.2
2,All Students,2017-18,12895783,889655,12006128,93.1,74860,17468,23.3
2,All Students,2018-19,12340394,833679,11506715,93.2,71642,16182,22.6
2,All Students,2019-20,7801060,522847,7278213,93.3,69395,15055,21.7
2,All Students,2020-21,10890385,864542,10025843,92.1,63927,15971,25
3,All Students,2016-17,13112179,798679,12313500,93.9,76730,14685,19.1
3,All Students,2017-18,13081877,846084,12235793,93.5,75793,16168,21.3
3,All Students,2018-19,12578686,809992,11768694,93.6,72819,15414,21.2
3,All Students,2019-20,7782788,484233,7298555,93.8,69215,13423,19.4
3,All Students,2020-21,11259252,823962,10435290,92.7,65923,15043,22.8
4,All Students,2016-17,13298576,756494,12542082,94.3,77661,13543,17.4
4,All Students,2017-18,13024303,798858,12225445,93.9,75289,15131,20.1
4,All Students,2018-19,12847890,779108,12068782,93.9,74234,14650,19.7
4,All Students,2019-20,7953840,474632,7479208,94,70625,13250,18.8
4,All Students,2020-21,11336005,802124,10533881,92.9,66232,14632,22.1
5,All Students,2016-17,12677894,722070,11955824,94.3,73871,12880,17.4
5,All Students,2017-18,13093377,784548,12308829,94,75513,14335,19
5,All Students,2018-19,12710529,766118,11944411,94,73217,14305,19.5
5,All Students,2019-20,8082018,468954,7613064,94.2,71666,12748,17.8
5,All Students,2020-21,11580283,827985,10752298,92.9,67469,15150,22.5
6,All Students,2016-17,12194615,710794,11483821,94.2,71247,12670,17.8
6,All Students,2017-18,12310571,758008,11552563,93.8,71146,13937,19.6
6,All Students,2018-19,12498015,750954,11747061,94,72073,13512,18.7
6,All Students,2019-20,7813539,459732,7353807,94.1,69363,12437,17.9
6,All Students,2020-21,11458243,975208,10483035,91.5,66802,17589,26.3
7,All Students,2016-17,11929900,722866,11207034,93.9,69621,12989,18.7
7,All Students,2017-18,12267195,779446,11487749,93.6,70782,14354,20.3
7,All Students,2018-19,12236984,764434,11472550,93.8,70537,14058,19.9
7,All Students,2019-20,8014430,477388,7537042,94,71035,13029,18.3
7,All Students,2020-21,11602797,1064254,10538543,90.8,67504,18917,28
8,All Students,2016-17,12105497,869738,11235759,92.8,70518,15568,22.1
8,All Students,2017-18,12146515,887941,11258574,92.7,69923,16373,23.4
8,All Students,2018-19,12244496,892344,11352152,92.7,70498,16320,23.1
8,All Students,2019-20,7886396,516473,7369923,93.5,69837,13895,19.9
8,All Students,2020-21,11998185,1122540,10875645,90.6,69576,19659,28.3
9,All Students,2016-17,13284722,1678649,11606073,87.4,84407,25989,30.8
9,All Students,2017-18,13175526,1664575,11510951,87.4,83063,25711,31
9,All Students,2018-19,13144574,1563648,11580926,88.1,81754,24310,29.7
9,All Students,2019-20,8747081,997974,7749107,88.6,81340,23850,29.3
9,All Students,2020-21,13105347,1942370,11162977,85.2,76955,27269,35.4
10,All Students,2016-17,12682693,1551486,11131207,87.8,80682,26038,32.3
10,All Students,2017-18,12658033,1587871,11070162,87.5,80019,26787,33.5
10,All Students,2018-19,12591670,1520018,11071652,87.9,78336,25292,32.3
10,All Students,2019-20,8233872,937539,7296333,88.6,76452,23722,31
10,All Students,2020-21,13076399,2023156,11053243,84.5,76858,28497,37.1
11,All Students,2016-17,11101619,1194296,9907323,89.2,69771,20909,30
11,All Students,2017-18,10977744,1208706,9769038,89,68566,21136,30.8
11,All Students,2018-19,11099718,1190653,9909065,89.3,68110,20546,30.2
11,All Students,2019-20,7221298,733556,6487742,89.8,66499,19065,28.7
11,All Students,2020-21,11588082,1510108,10077974,87,67593,22255,32.9
12,All Students,2016-17,10907939,1580297,9327642,85.5,68685,29191,42.5
12,All Students,2017-18,11383444,1640694,9742750,85.6,71070,30720,43.2
12,All Students,2018-19,11430168,1639001,9791167,85.7,70448,30779,43.7
12,All Students,2019-20,7693867,1047023,6646844,86.4,70585,27519,39
12,All Students,2020-21,11904593,1911201,9993392,83.9,70572,29345,41.6
